ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20040901RUS,2004-09-1,Russia,Beslan school hostage crisis [33][34],http://news.bbc.co.uk/2/shared/spl/hi/world/04/russian_s/html/1.stm                                           https://web.archive.org/web/20071017001115/http://boston.com/news/world/europe/articles/2006/12/08/woman_injured_in_2004_russian_siege_dies/,385,783,,,,,,,,FALSE,,,,,,,,
20040831RUS,2004-08-31,Russia,August 2004 Moscow Metro bombing.,,10,50,,,,,,,,FALSE,,,,,,,,
20040821BAN,2004-08-21,Bangladesh,The 2004 Dhaka grenade attack was carried out by members of Harkat-ul-Jihad al-Islami against an anti-terrorism rally.,,24,300+,,,,,,,,TRUE,,,,,,,,
20040803SAU,2004-08-3,Saudi Arabia,An Irish national was shot and killed in Riyadh.[32],http://www.independent.co.uk/news/world/middle-east/irish-worker-shot-dead-in-riyadh-as-militants-pick-soft-targets-6164251.html,1,0,,,,,,,,TRUE,,,,,,,,
20040801IRA,2004-08-1,Iraq,2004 Iraq churches attacks.,,12,71+,,,,,,,,TRUE,,,,,,,,
20040728IRA,2004-07-28,Iraq,2004 Baqubah bombing.,,68,24+,,,,,,,,TRUE,,,,,,,,
20040618SAU,2004-06-18,Saudi Arabia,"American Paul Marshall Johnson was beheaded in Riyadh after being kidnapped at a fake police checkpoint on June 13, 2004.",,1,0,,,,,,,,TRUE,,,,,,,,
20040608SAU,2004-06-8,Saudi Arabia,An American employee of Vinnell Corp. was killed in Riyadh.[28][29][30][31],,1,0,,,,,,,,TRUE,,,,,,,,
20040606SAU,2004-06-6,Saudi Arabia,"BBC journalist Simon Cumbers and correspondent Frank Gardner were attacked by Al Qaeda sympathizers while filming an Al Qaeda safehouse in Al-Suwaidi, Riyadh. Cumbers was killed, while Gardner was seriously injured.",,1,1,,,,,,,,TRUE,,,,,,,,
20040529SAU,2004-05-29,Saudi Arabia,"The 2004 Khobar massacre was a shooting and bombing campaign led by four Al Qaeda-linked militants against two oil industry installations and a residential compound in Al-Khobar, Saudi Arabia.",,22,25,,,,,,,,TRUE,,,,,,,,
20040421SAU,2004-04-21,Saudi Arabia,A car bomb explodes outside a building originally used by the Saudi police.[27],,5,148,,,,,,,,TRUE,,,,,,,,
20040311SPA,2004-03-11,Spain,Madrid train bombings.[25][26],,192,2050,,,,,,,,FALSE,,,,,,,,
20040309TUR,2004-03-9,Turkey,"March 9, 2004 attack on Istanbul restaurant, caused by two Islamic militants who opened fire and detonated pipe bombs. One attacker was killed and the other was seriously injured.",,1,5,,,,,,,,TRUE,,,,,,,,
20040227PHI,2004-02-27,Philippines,The sinking of SuperFerry 14 by Abu Sayyaf terrorists.,,116,0,,,,,,,,FALSE,,,,,,,,
20040222ISR,2004-02-22,Israel,Liberty Bell Park bus bombing.,,8,60,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20040206RUS,2004-02-6,Russia,February 2004 Moscow Metro bombing.,,41,102+,,,,,,,,FALSE,,,,,,,,
20040129ISR,2004-01-29,Israel,Gaza Street bus bombing.,,11,50+,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20040114ISR,2004-01-14,Israel,2004 Erez Crossing bombing.,,4,10,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20040110INO,2004-01-10,Indonesia,2004 Palopo cafe bombing.,,4,3,,,,,,,,TRUE,,,,,,,,
20031115TUR,2003-11-15,Turkey,2003 Istanbul bombings.,,57,700,,,,,,,,TRUE,,,,,,,,
20031108SAU,2003-11-8,Saudi Arabia,"A suicide truck bomb detonated outside a housing compound in Laban Valley, west of Riyadh.",,17,122,,,,,,,,TRUE,,,,,,,,
20031004ISR,2003-10-4,Israel,"The Maxim restaurant suicide bombing was a suicide bombing in the beachfront ""Maxim"" restaurant in Haifa, Israel. Among the victims were two families and four children, including a two-month-old baby.",,21,51,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20030909ISR,2003-09-9,Israel,Tzrifin bus stop attack.,,9,15,,,,,,,,FALSE,,,,,,,,
20030909ISR2,2003-09-9,Israel,Café Hillel bombing.,,7,50+,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20040825IND,2003-08-25,India,Twin car bombings.,,54,244,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20030819ISR,2003-08-19,Israel,Shmuel HaNavi bus bombing.,,24,130+,,,,,,,,FALSE,,,,,,,,
20030805INO,2003-08-5,Indonesia,"2003 Marriott Hotel bombing in Mega Kuningan, South Jakarta, Indonesia; suicide bomber detonated a car bomb outside the JW Marriott Jakarta lobby.",,12,150,,,,,,,,TRUE,,,,,,,,
20030611ISR,2003-06-11,Israel,Davidka Square bus bombing.,,17,100 (approx.),,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20030519ISR,2003-05-19,Israel,Afula mall bombing.,,3,70,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20030518ISR,2003-05-18,Israel,2003 French Hill suicide bombings.,,7,20,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20030516MOR,2003-05-16,Morocco,A series of suicide bombings in Casablanca.,,45,100+,,,,,,,,TRUE,,,,,,,,
20030512SAU,2003-05-12,Saudi Arabia,Several heavily-armed gunmen open fire and detonate vehicle bombs outside three housing compounds in Riyadh occupied by Westerners.,,39,160+,,,,,,,,TRUE,,,,,,,,
20030515RUS,2003-05-12,Russia,The 2003 Znamenskoye suicide bombing.,,59,200,,,,,,,,FALSE,,,,,,,,
